Name,Address,latitude,longitude,Google_Maps_Link,pincode
Infant Jesus Child Care Clinic,"Infant Jesus Child Care Clinic, Kodungallur - Shornur Road, Ottupara, Wadakkancherry - 680582, Kerala, India",10.6579443,76.2463705,"https://www.google.com/maps?q=10.6579443,76.2463705",680582
"Govt Homoeo Dispensary, Wadakkanchery, Thrissur","Govt Homoeo Dispensary, Wadakkanchery, Thrissur, Kodungallur - Shornur Road, Ottupara, Wadakkancherry - 680582, Kerala, India",10.655652,76.2479691,"https://www.google.com/maps?q=10.655652,76.2479691",680582
Ayur Salama dispensary,"Ayur Salama dispensary, Kumbalangad Road, Ottupara, Wadakkancherry - 680590, Kerala, India",10.6615607,76.2364196,"https://www.google.com/maps?q=10.6615607,76.2364196",680590
St. Antony's Dispensary,"St. Antony's Dispensary, Thanikkudam-Karumathra Road, Thrissur, Karumathra - 680589, Kerala, India",10.6368405,76.2734893,"https://www.google.com/maps?q=10.6368405,76.2734893",680589
Matoshree Medico,"Matoshree Medico, Uttamnagar road, Bavdhan, Pune - 411021, Maharashtra, India",18.5220368,73.764732,"https://www.google.com/maps?q=18.5220368,73.764732",411021
Apple Chemists,"Apple Chemists, Porwal Road, Pune District, - 411047, Maharashtra, India",18.6029081,73.9095552,"https://www.google.com/maps?q=18.6029081,73.9095552",411047
Smart Chemist Medical,"Smart Chemist Medical, Porwal Road, Pune District, - 411047, Maharashtra, India",18.6078417,73.9109529,"https://www.google.com/maps?q=18.6078417,73.9109529",411047
Kottakkal Aryavidhyashala Omassery,"Kottakkal Aryavidhyashala Omassery, Quilandy - Thamarassery - Edavanna Road, Kozhikode, Omassery - 673582, Kerala, India",11.3644422,75.9641167,"https://www.google.com/maps?q=11.3644422,75.9641167",673582
Metro Chemist,"Metro Chemist, Uttamnagar road, Bavdhan Budruk, Pune - 411021, Maharashtra, India",18.5223748,73.7645098,"https://www.google.com/maps?q=18.5223748,73.7645098",411021
Sri Ganesh Medicals,"Sri Ganesh Medicals, Cuddalore - Chittoor Road, Semmandalam, Cuddalore - 607001, Tamil Nadu, India",11.766339,79.7444216,"https://www.google.com/maps?q=11.766339,79.7444216",607001
Swathi Medicals,"Swathi Medicals, Pudukkottai - Arimalam - Embal Road, Kosalakkudi, Pudukkottai - 622003, Tamil Nadu, India",10.3612769,78.8125828,"https://www.google.com/maps?q=10.3612769,78.8125828",622003
,"Ambasamudram, India",8.5747629,77.3417656,"https://www.google.com/maps?q=8.5747629,77.3417656",
Raghu Pharma,"Raghu Pharma, B. Narayana Swamappa Road, Mathikere, Bengaluru - 560022, Karnataka, India",13.0254048,77.5575363,"https://www.google.com/maps?q=13.0254048,77.5575363",560022
Apple medical store,"Apple medical store, Uttamnagar road, Bavdhan, Pune - 411021, Maharashtra, India",18.5219903,73.7655086,"https://www.google.com/maps?q=18.5219903,73.7655086",411021
Apollo Pharmacy,"Apollo Pharmacy, NH138, Vijayaraghava Muthaliyaar Chatram, - 627011, Tamil Nadu, India",8.7139041,77.7726822,"https://www.google.com/maps?q=8.7139041,77.7726822",627011
Apollo Pharmacy,"Apollo Pharmacy, Palayamkottai - Tuticorin Port Road (Old NH7A), Shanti Nagar, - 627008, Tamil Nadu, India",8.7172966,77.7608179,"https://www.google.com/maps?q=8.7172966,77.7608179",627008
Rahul Pharma,"Rahul Pharma, Bharat Itihas Sanshodhak Mandal Path, Sadashiv Peth, Pune - 411030, Maharashtra, India",18.5104017,73.8476123,"https://www.google.com/maps?q=18.5104017,73.8476123",411030
Vasudha Medico,"Vasudha Medico, Baner Road, Model Colony, Pune - 411016, Maharashtra, India",18.5463952,73.8203671,"https://www.google.com/maps?q=18.5463952,73.8203671",411016
appolo pharmcy,"appolo pharmcy, MDR015, Tongritoli, - 834002, Jharkhand, India",23.3572587,85.3017778,"https://www.google.com/maps?q=23.3572587,85.3017778",834002
Aushdhalay medical store,"Aushdhalay medical store, MDR011, Parastoli, - 834002, Jharkhand, India",23.3351642,85.3188105,"https://www.google.com/maps?q=23.3351642,85.3188105",834002
M/s Shanti Medical Stores,"M/s Shanti Medical Stores, Kanchrapara-Nagarukhra-Bongaon Intercity Hwy, Nagarukhra I, Nagarukhra - 741257, West Bengal, India",22.9419385,88.6339651,"https://www.google.com/maps?q=22.9419385,88.6339651",741257
,"Railway Station Road, Kottayam, - 686613, Kerala, India",9.7741908,76.4759469,"https://www.google.com/maps?q=9.7741908,76.4759469",686613
Apollo Pharmacy,"Apollo Pharmacy, Anna Road, Neyveli Township, - 607803, Tamil Nadu, India",11.6057991,79.5079713,"https://www.google.com/maps?q=11.6057991,79.5079713",607803
Maya Clinic Pharmacy,"Maya Clinic Pharmacy, Doddanekkundi Main Road, Marathahalli, Bengaluru - 560037, Karnataka, India",12.9690162,77.6936245,"https://www.google.com/maps?q=12.9690162,77.6936245",560037
,"SH41, Gandhinagar, Adalaj - 382423, Gujarat, India",23.1763677,72.5752779,"https://www.google.com/maps?q=23.1763677,72.5752779",382423
Suresh Medicals,"Suresh Medicals, Aluva - Paravur Road, Ernakulam, North Paravur - 683513, Kerala, India",10.1490566,76.2326877,"https://www.google.com/maps?q=10.1490566,76.2326877",683513
Rayan Medicals,"Rayan Medicals, Aluva - Paravur Road, Ernakulam, North Paravur - 683513, Kerala, India",10.1490296,76.2324009,"https://www.google.com/maps?q=10.1490296,76.2324009",683513
Neethi Medical Store,"Neethi Medical Store, Kayamkulam - Pathanapuram Road, Parakode, Adoor - 691554, Kerala, India",9.1520508,76.738911,"https://www.google.com/maps?q=9.1520508,76.738911",691554
SastaSundar Healthbuddy Nagarukhra,"SastaSundar Healthbuddy Nagarukhra, Kanchrapara-Nagarukhra-Bongaon Intercity Hwy, Nagarukhra I, Nagarukhra - 741257, West Bengal, India",22.942301,88.6307327,"https://www.google.com/maps?q=22.942301,88.6307327",741257
MedPlus,"MedPlus, Pancamantra Road, Kuvempunagara, Mysuru - 570001, Karnataka, India",12.2934079,76.6280562,"https://www.google.com/maps?q=12.2934079,76.6280562",570001
Neethi Medical Stroe,"Neethi Medical Stroe, MDR, Ernakulam, North Paravur - 683513, Kerala, India",10.1498488,76.2346422,"https://www.google.com/maps?q=10.1498488,76.2346422",683513
MedPlus,"MedPlus, Doddanekkundi Main Road, Bengaluru East City Corporation, Bengaluru - 560037, Karnataka, India",12.9733976,77.6936603,"https://www.google.com/maps?q=12.9733976,77.6936603",560037
Janani Clinic,"Janani Clinic, Panathur Main Road, Panathur, Bengaluru - 560103, Karnataka, India",12.9386583,77.6968715,"https://www.google.com/maps?q=12.9386583,77.6968715",560103
Aster Pharmacy,"Aster Pharmacy, 19th H Main Road, Mahalakshmi Layout, Bengaluru - 560010, Karnataka, India",13.0023102,77.552568,"https://www.google.com/maps?q=13.0023102,77.552568",560010
Neethi Medical Store,"Neethi Medical Store, NH 66, Kannur, Karivellur - 670521, Kerala, India",12.1800396,75.1888169,"https://www.google.com/maps?q=12.1800396,75.1888169",670521
Karthika Medicals,"Karthika Medicals, Layam Road, Petta, Thrippunithura - 682301, Kerala, India",9.9467595,76.3461157,"https://www.google.com/maps?q=9.9467595,76.3461157",682301
Economic Pharmacy,"Economic Pharmacy, NS Bose Avenue, Nagarukhra I, Nagarukhra - 741257, West Bengal, India",22.9420328,88.638747,"https://www.google.com/maps?q=22.9420328,88.638747",741257
M/s Sarkar Medical,"M/s Sarkar Medical, NS Bose Avenue, Nagarukhra I, Nagarukhra - 741257, West Bengal, India",22.9421496,88.6387078,"https://www.google.com/maps?q=22.9421496,88.6387078",741257
PD Medical Hall,"PD Medical Hall, NS Bose Avenue, Nagarukhra I, Nagarukhra - 741257, West Bengal, India",22.9419545,88.6376443,"https://www.google.com/maps?q=22.9419545,88.6376443",741257
Thejus Medicals,"Thejus Medicals, Kanjiramattom Road, Idukki, Thodupuzha - 685584, Kerala, India",9.8953228,76.718403,"https://www.google.com/maps?q=9.8953228,76.718403",685584
Amit Medical,"Amit Medical, sai coloni, Chutia, Ranchi - 834001, Jharkhand, India",23.344972,85.3401078,"https://www.google.com/maps?q=23.344972,85.3401078",834001
Best Care Pharmacy,"Best Care Pharmacy, Udhna Magdalla Road, Surat, - 394518, Gujarat, India",21.1420524,72.7729865,"https://www.google.com/maps?q=21.1420524,72.7729865",394518
Jan Aushadhi,"Jan Aushadhi, School Road, Malappuram, Pothukal - 679354, Kerala, India",11.4041387,76.2516089,"https://www.google.com/maps?q=11.4041387,76.2516089",679354
Royal Medicals,"Royal Medicals, Manamadurai - Vikravandi Road, Cuddalore, Vadalur - 607303, Tamil Nadu, India",11.5609462,79.5545177,"https://www.google.com/maps?q=11.5609462,79.5545177",607303
Sri Srrinu Medical,"Sri Srrinu Medical, Kamaraj Road, Neyveli Township, - 607803, Tamil Nadu, India",11.6121613,79.489116,"https://www.google.com/maps?q=11.6121613,79.489116",607803
Tamilnadu Pharmacy,"Tamilnadu Pharmacy, Manamadurai - Vikravandi Road, Cuddalore, Vadalur - 607303, Tamil Nadu, India",11.5593117,79.5546387,"https://www.google.com/maps?q=11.5593117,79.5546387",607303
Tamilnadu Medicals,"Tamilnadu Medicals, Cuddalore - Vridhachalam - Salem Road, Cuddalore, Vadalur - 607303, Tamil Nadu, India",11.553731,79.5476893,"https://www.google.com/maps?q=11.553731,79.5476893",607303
JAN OUSHADI MEDICALS,"Jan Aushadi Medicals, Kodungallur - Shornur Road, Ottupara, Wadakkancherry - 680582, Kerala, India",10.6644416,76.2497157,"https://www.google.com/maps?q=10.6644416,76.2497157",680582
GDR Medicals,"GDR Medicals, D.No: 4-1-8, SH40, Guntur, Ponnur - 522124, Andhra Pradesh, India",16.0665262,80.5514558,"https://www.google.com/maps?q=16.0665262,80.5514558",522124
Shree Ganesh Medical & General Stores,"Shree Ganesh Medical & General Stores, St. Andrews Road, H/W Ward, Mumbai - 400050, Maharashtra, India",19.0551444,72.8266558,"https://www.google.com/maps?q=19.0551444,72.8266558",400050
Bawaa Medicals,"Bawaa Medicals, 17, Medavakkam Main Road, Keelkattalai, Chennai - 600091, Tamil Nadu, India",12.9637052,80.1875881,"https://www.google.com/maps?q=12.9637052,80.1875881",600091
GOVT AYURVEDA DISPENSARY PULLU ISLAND,"GOVT AYURVEDA DISPENSARY PULLU ISLAND, 121, Manakody Road, Thrissur, Thrissur - 680641, Kerala, India",10.4570864,76.1548686,"https://www.google.com/maps?q=10.4570864,76.1548686",680641
Apollo Pharmacy,"Apollo Pharmacy, Villupuram - Puducherry Road, Reddiarpalayam, Oulgaret - 605005, Puducherry, India",11.9314921,79.8064308,"https://www.google.com/maps?q=11.9314921,79.8064308",605005
Mahamayi Medical Store,"Mahamayi Medical Store, Umerkote - Malgam Rd, Nabarangapur, Jharigaon - 764076, Odisha, India",19.7182986,82.3700581,"https://www.google.com/maps?q=19.7182986,82.3700581",764076
Dr Majumder Homoeo World,"Dr Majumder Homoeo World, P-169, Gurudas Dutta Garden Lane, Ultadanga, Kolkata - 700054, West Bengal, India",22.5935131,88.3883411,"https://www.google.com/maps?q=22.5935131,88.3883411",700054
Sri Ram Pharmacy,"Sri Ram Pharmacy, 59 sector 1, 4th Cross Road, Sector I, Kolkata - 700064, West Bengal, India",22.5958522,88.413124,"https://www.google.com/maps?q=22.5958522,88.413124",700064
MedPlus,"MedPlus Ultadanga, p170, CIT Road, Maniktala, Kolkata - 700054, West Bengal, India",22.5917061,88.3914676,"https://www.google.com/maps?q=22.5917061,88.3914676",700054
Preet Medicos,"Preet Medicos, Hans Raj Gupta Marg, Kalkaji Tehsil, Delhi - 110048, India",28.5498295,77.23338,"https://www.google.com/maps?q=28.5498295,77.23338",110048
Jan Aushadhi,"Jan Aushadhi, Palakkad-perinthalmanna road, Palakkad, - 678633, Kerala, India",10.8727115,76.4462108,"https://www.google.com/maps?q=10.8727115,76.4462108",678633
Coimbatore Aryavyadhyasala Pharmacy Agency,"Coimbatore Aryavyadhyasala Pharmacy Agency, Palakkad-Mannarkkad-Calicut Road, Palakkad, Velikkad - 678596, Kerala, India",10.894079,76.5389181,"https://www.google.com/maps?q=10.894079,76.5389181",678596
Daya Pharmacy,"Daya Pharmacy, Pulapatta Road, Palakkad, Kalladikode - 678596, Kerala, India",10.8953765,76.5372461,"https://www.google.com/maps?q=10.8953765,76.5372461",678596
SCI Pharmacy,"SCI Pharmacy, 21, Hans Raj Gupta Marg, Kalkaji Tehsil, Delhi - 110048, India",28.549539,77.2337581,"https://www.google.com/maps?q=28.549539,77.2337581",110048
Bhadra Medicals,"Bhadra Medicals, Palakkad-Malappuram-Calicut Road, Palakkad, Kalladikode - 678596, Kerala, India",10.8957816,76.537157,"https://www.google.com/maps?q=10.8957816,76.537157",678596
Matha Medicals,"Matha Medicals, Palakkad-Malappuram-Calicut Road, Palakkad, Kalladikode - 678596, Kerala, India",10.8958975,76.5371409,"https://www.google.com/maps?q=10.8958975,76.5371409",678596
Vaani pharmacy,"Vaani pharmacy, Vijay Avenue, Zone 14 Perungudi, Chennai - 600061, Tamil Nadu, India",12.9738116,80.1897991,"https://www.google.com/maps?q=12.9738116,80.1897991",600061
Apollo Pharmacy,"Apollo Pharmacy, Kulpi Road, Uttar Sultanpur, Jaynagar Majilpur - 743337, West Bengal, India",22.1699829,88.4158483,"https://www.google.com/maps?q=22.1699829,88.4158483",743337
All India Medicos,"All India Medicos, Aurobindo Marg, Defence Colony Tehsil, Delhi - 110029, India",28.562112,77.2077732,"https://www.google.com/maps?q=28.562112,77.2077732",110029
,"Shaheed Tantiya Bhil Road, Indore City, Indore - 452001, Madhya Pradesh, India",22.668705,75.8815573,"https://www.google.com/maps?q=22.668705,75.8815573",452001
,"Shaheed Tantiya Bhil Road, Indore City, Indore - 452001, Madhya Pradesh, India",22.6688105,75.8815284,"https://www.google.com/maps?q=22.6688105,75.8815284",452001
,"Limbodi Main Road, Limbodi, Indore - 452001, Madhya Pradesh, India",22.6684619,75.8823905,"https://www.google.com/maps?q=22.6684619,75.8823905",452001
Aranya Ayurvedic Pharmacy,"Aranya Ayurvedic Pharmacy, Peiyattadukkam Thavhangad Road, Kasaragod, Periyattadukkam - 613167, Kerala, India",12.428999,75.0724117,"https://www.google.com/maps?q=12.428999,75.0724117",613167
Mediplus,"Mediplus, NH66, Kasaragod, Keloth - 671531, Kerala, India",12.4296756,75.0722426,"https://www.google.com/maps?q=12.4296756,75.0722426",671531
Neethi Medical Store,"Neethi Medical Store, MC Road, Pathanamthitta, Kozhencherry - 689503, Kerala, India",9.2429983,76.6721006,"https://www.google.com/maps?q=9.2429983,76.6721006",689503
Neethi Medical Store,"Neethi Medical Store, MC Road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2215944,76.6787581,"https://www.google.com/maps?q=9.2215944,76.6787581",689501
Ashwas Medicals,"Ashwas Medicals, pandalam market road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2250631,76.6745923,"https://www.google.com/maps?q=9.2250631,76.6745923",689501
Ashraya Medicals,"Ashraya Medicals, caltex to puthiya bus stand, Thavakkara, Kannur - 670012, Kerala, India",11.8745352,75.3725066,"https://www.google.com/maps?q=11.8745352,75.3725066",670012
SD Pharmacy,"SD Pharmacy, Bank Road, Thayalangadi, Kasaragod - 671121, Kerala, India",12.5018416,74.9874181,"https://www.google.com/maps?q=12.5018416,74.9874181",671121
Kottakkal Arya Vaidyashala,"Kottakkal Arya Vaidyashala, Market Road, Alappuzha, Kayamkulam - 690502, Kerala, India",9.1781607,76.5004455,"https://www.google.com/maps?q=9.1781607,76.5004455",690502
Apollo Pharmacy,"Apollo Pharmacy, Mosque Road, Neyveli Township, - 607803, Tamil Nadu, India",11.6134851,79.4855194,"https://www.google.com/maps?q=11.6134851,79.4855194",607803
Sitaram Ayurveda Pharmacy,"Sitaram Ayurveda Pharmacy, Kasaragod - Kanhangad Road, Kottachery, Kanhangad - 671315, Kerala, India",12.323361,75.0865161,"https://www.google.com/maps?q=12.323361,75.0865161",671315
Nagarjuna,"Nagarjuna, Postoffice-Bustand Road, Kottachery, Kanhangad - 671315, Kerala, India",12.3227177,75.0870169,"https://www.google.com/maps?q=12.3227177,75.0870169",671315
oushadhi,"oushadhi, Postoffice-Bustand Road, Kottachery, Kanhangad - 671315, Kerala, India",12.3226715,75.0869297,"https://www.google.com/maps?q=12.3226715,75.0869297",671315
Ideal,"Ideal, Kasaragod - Kanhangad Road, Kottachery, Kanhangad - 671315, Kerala, India",12.3222728,75.0864194,"https://www.google.com/maps?q=12.3222728,75.0864194",671315
Neethi Medical Store,"Neethi Medical Store, Mavelikkara - Pandalam, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2245108,76.6777774,"https://www.google.com/maps?q=9.2245108,76.6777774",689501
Jio Medicals,"Jio Medicals, Pandalam - Pathanamthitta, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2247956,76.6783468,"https://www.google.com/maps?q=9.2247956,76.6783468",689501
Excel Medicals,"Excel Medicals, Mavelikkara - Pandalam, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2246851,76.6781047,"https://www.google.com/maps?q=9.2246851,76.6781047",689501
Bhay Medicals,"Bhay Medicals, Postoffice-Bustand Road, Kottachery, Kanhangad - 671315, Kerala, India",12.3224673,75.0865764,"https://www.google.com/maps?q=12.3224673,75.0865764",671315
Neethi Medicals,"Neethi Medicals, Postoffice-Bustand Road, Kottachery, Kanhangad - 671315, Kerala, India",12.3224446,75.0871055,"https://www.google.com/maps?q=12.3224446,75.0871055",671315
Kottakkal Arya Vaidyashala,"Kottakkal Arya Vaidyashala, pandalam market road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2248341,76.6754975,"https://www.google.com/maps?q=9.2248341,76.6754975",689501
Excel Medicals,"Excel Medicals, pandalam market road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.224693,76.6756336,"https://www.google.com/maps?q=9.224693,76.6756336",689501
Medical Store,"Medical Store, pandalam market road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2248209,76.6749623,"https://www.google.com/maps?q=9.2248209,76.6749623",689501
S S Medicals,"S S Medicals, MC Road, Pathanamthitta, Paranthal - 689518, Kerala, India",9.1871008,76.7091099,"https://www.google.com/maps?q=9.1871008,76.7091099",689518
Aster Labs,"Aster Labs, K. Narayanapura Main Road, Bengaluru East City Corporation, Bengaluru - 560077, Karnataka, India",13.0608541,77.6419379,"https://www.google.com/maps?q=13.0608541,77.6419379",560077
Veterinary Medical Store,"Veterinary Medical Store, MC Road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2172647,76.6810611,"https://www.google.com/maps?q=9.2172647,76.6810611",689501
Sree Sabari Medicals,"Sree Sabari Medicals, MC Road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2184568,76.6799617,"https://www.google.com/maps?q=9.2184568,76.6799617",689501
K M Medicals,"K M Medicals, MC Road, Pathanamthitta, Pandalam - 689501, Kerala, India",9.2228146,76.6785948,"https://www.google.com/maps?q=9.2228146,76.6785948",689501
Life Line,"Life Line, SH31, Kasaragod, Cherkala - 671545, Kerala, India",12.5089542,75.0555001,"https://www.google.com/maps?q=12.5089542,75.0555001",671545
Shabna Medicals,"Shabna Medicals, pady road, Kasaragod, Cherkala - 671545, Kerala, India",12.509306,75.054882,"https://www.google.com/maps?q=12.509306,75.054882",671545
Kottakkal Arya Vaidya Sala,"Kottakkal Arya Vaidya Sala, pady road, Kasaragod, Cherkala - 671545, Kerala, India",12.5101167,75.0543448,"https://www.google.com/maps?q=12.5101167,75.0543448",671545
Al Shifa Medicals,"Al Shifa Medicals, Kalladka-Cherkala Road, Kasaragod, Cherkala - 671541, Kerala, India",12.5091785,75.0547034,"https://www.google.com/maps?q=12.5091785,75.0547034",671541
Aruna Medicals,"Aruna Medicals, Kasargod-Kannur-Calicut Highway, Kannur, Mangattuparamba - 670563, Kerala, India",11.9972273,75.3703551,"https://www.google.com/maps?q=11.9972273,75.3703551",670563
Jan Aushadhi,"Jan Aushadhi, 3/577, Pilathara - Pazhayangadi - Pappinisseri, Kannur, Kannapuram - 670301, Kerala, India",11.9829859,75.3138178,"https://www.google.com/maps?q=11.9829859,75.3138178",670301
